redshift_derivative_order,ell,s_Mpc_h,value,jackknife_sigma
0.000000000000000000e+00,2.000000000000000000e+00,1.340000000000000000e+02,-3.974375433876492503e-03,8.527877760499021076e-04
0.000000000000000000e+00,2.000000000000000000e+00,1.380000000000000000e+02,-2.857891513104206249e-03,9.358207179889486450e-04
0.000000000000000000e+00,2.000000000000000000e+00,1.420000000000000000e+02,-2.634233423063326272e-03,8.321373818172704464e-04
0.000000000000000000e+00,2.000000000000000000e+00,1.460000000000000000e+02,-3.035778803110063088e-03,7.935781349135480767e-04
0.000000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+02,-2.865520510512610357e-03,8.014878401545319150e-04
0.000000000000000000e+00,2.000000000000000000e+00,1.540000000000000000e+02,-2.945513361330547811e-03,7.355482385995226659e-04
0.000000000000000000e+00,2.000000000000000000e+00,1.580000000000000000e+02,-2.639475746433495810e-03,7.323385128284954021e-04
0.000000000000000000e+00,4.000000000000000000e+00,4.200000000000000000e+01,2.592884381281747655e-03,1.810078824357294136e-03
0.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,1.214451434026800249e-03,1.758836691144204534e-03
0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+01,2.177840401143792126e-03,1.659027700454430336e-03
0.000000000000000000e+00,4.000000000000000000e+00,5.400000000000000000e+01,1.375479339021535002e-03,1.524485883503228813e-03
0.000000000000000000e+00,4.000000000000000000e+00,5.800000000000000000e+01,1.501025301711613608e-05,1.457872612770668439e-03
0.000000000000000000e+00,4.000000000000000000e+00,6.200000000000000000e+01,8.629324356823385792e-04,1.443341122717227767e-03
0.000000000000000000e+00,4.000000000000000000e+00,6.600000000000000000e+01,1.428098233955444902e-03,1.447099858221398113e-03
0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+01,8.352167491758855609e-04,1.434555881886170978e-03
0.000000000000000000e+00,4.000000000000000000e+00,7.400000000000000000e+01,2.260130694627391149e-03,1.311039152702192642e-03
0.000000000000000000e+00,4.000000000000000000e+00,7.800000000000000000e+01,1.996042319856581714e-03,1.346383514317644504e-03
0.000000000000000000e+00,4.000000000000000000e+00,8.200000000000000000e+01,1.897685012263270994e-03,1.325891349920987851e-03
0.000000000000000000e+00,4.000000000000000000e+00,8.600000000000000000e+01,5.195260314078185924e-04,1.163955063704936012e-03
0.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+01,6.408943366888583595e-04,1.138572034296550647e-03
0.000000000000000000e+00,4.000000000000000000e+00,9.400000000000000000e+01,3.502833573030810638e-04,1.225848337014037639e-03
0.000000000000000000e+00,4.000000000000000000e+00,9.800000000000000000e+01,-2.906206280083095325e-04,1.114833323732850609e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.020000000000000000e+02,3.597661253770360890e-04,1.116923851316457784e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.060000000000000000e+02,-1.990914337967547923e-04,1.211928517567333529e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.100000000000000000e+02,8.241947894887962679e-04,1.161493183001748941e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.140000000000000000e+02,3.613040551517492788e-04,1.096846521008637337e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.180000000000000000e+02,2.624028633369562998e-04,1.133257868410822997e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.220000000000000000e+02,-8.736136871110788352e-04,1.080168386366665715e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.260000000000000000e+02,-4.620086903641415846e-05,1.061628621448775693e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.300000000000000000e+02,9.238144519909908745e-04,1.045474100148265561e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.340000000000000000e+02,1.179298801189924148e-03,1.076256445849989351e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.380000000000000000e+02,1.887564107564713425e-03,1.011473089038433023e-03
0.000000000000000000e+00,4.000000000000000000e+00,1.420000000000000000e+02,2.344410572586435194e-03,9.650012583771886213e-04
0.000000000000000000e+00,4.000000000000000000e+00,1.460000000000000000e+02,1.788949049172336089e-03,8.977485028931181778e-04
0.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+02,1.647342604887343112e-03,9.374384767980340708e-04
0.000000000000000000e+00,4.000000000000000000e+00,1.540000000000000000e+02,2.034955709657965389e-03,8.795621480353773246e-04
0.000000000000000000e+00,4.000000000000000000e+00,1.580000000000000000e+02,1.454942309510513223e-03,8.977000579904371872e-04
1.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,-4.714833742852578800e-03,5.247673981961486524e-03
1.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,-9.916153396524532426e-03,5.272136031574189627e-03
1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,-6.728750896010335728e-03,4.652789945023760691e-03
1.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,-5.638737103625851392e-03,5.005475289741408498e-03
1.000000000000000000e+00,0.000000000000000000e+00,5.800000000000000000e+01,-5.700789544986387125e-03,4.377837955946165850e-03
1.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,-3.629071348442583153e-03,4.061218095709251408e-03
1.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,2.326645983091901303e-03,3.742132446228735396e-03
1.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+01,4.037576071505155281e-03,3.906995600244610872e-03
1.000000000000000000e+00,0.000000000000000000e+00,7.400000000000000000e+01,2.675467179643154902e-03,3.203244878657902136e-03
1.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000000e+01,4.876636143892291476e-03,3.396691216339005163e-03
1.000000000000000000e+00,0.000000000000000000e+00,8.200000000000000000e+01,2.547235321116766114e-03,3.088435253158713662e-03
1.000000000000000000e+00,0.000000000000000000e+00,8.600000000000000000e+01,4.670702125900429505e-03,3.333067570930410475e-03
1.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+01,6.089539225983450418e-03,3.230607770053780647e-03
1.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,5.659981693767660201e-03,2.965784247706939117e-03
1.000000000000000000e+00,0.000000000000000000e+00,9.800000000000000000e+01,7.201174162108380829e-03,2.859039228398965390e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.020000000000000000e+02,5.652128951224939281e-03,2.951668275548046793e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,3.751603500525382915e-03,3.019952832780144550e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+02,2.244713711314702195e-03,2.691656277042227003e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.140000000000000000e+02,3.355568802000745508e-03,2.830485566999569030e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,2.495250885670436802e-03,2.574842528220908783e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.220000000000000000e+02,3.743252446132478914e-03,2.403839010030035892e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.260000000000000000e+02,4.339389349674753482e-03,2.380820732990943187e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+02,2.366869364132293506e-03,2.188461061364936188e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000000e+02,4.998303957238039649e-03,2.307185480298679092e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,4.903027915081008270e-03,2.225923455865694463e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+02,2.390579231740085769e-03,2.232625786691069727e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.460000000000000000e+02,9.294633884433431935e-04,2.028825333900896675e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,6.067706920782768142e-04,1.939735493290884643e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.540000000000000000e+02,9.480538384709317080e-04,1.966817244120349847e-03
1.000000000000000000e+00,0.000000000000000000e+00,1.580000000000000000e+02,4.840305413445526121e-04,1.970932014667659774e-03
1.000000000000000000e+00,2.000000000000000000e+00,4.200000000000000000e+01,1.440912200979640664e-02,1.074069713510108354e-02
